destination	operation	source	why	options
er_m60unload.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_open.wav	feed device out of a light_machine_gun	
er_machine_gunreloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
er_machine_gununload.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_open.wav	feed device out of a light_machine_gun	
er_machine_pistolmode_burst.ogg	concat	sandstorm:Weapon_M1911/handling/m1911_foley_safety.wav|sandstorm:Weapon_M1911/handling/m1911_foley_safety.wav	selector to burst: 2 detents	
er_machine_pistolmode_full automatic.ogg	concat	sandstorm:Weapon_M1911/handling/m1911_foley_safety.wav|sandstorm:Weapon_M1911/handling/m1911_foley_safety.wav|sandstorm:Weapon_M1911/handling/m1911_foley_safety.wav	selector to full automatic: 3 detents	
er_machine_pistolmode_semi-automatic.ogg	concat	sandstorm:Weapon_M1911/handling/m1911_foley_safety.wav	selector to semi-automatic: 1 detent	
er_machine_pistolreloadend.ogg	copy	sandstorm:Weapon_M1911/handling/m1911_foley_slide_release.wav	last motion of a pistol reload	
er_machine_pistolunload.ogg	copy	sandstorm:Weapon_M1911/handling/m1911_foley_mag_out.wav	feed device out of a pistol	
er_mlk247mode_burst.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to burst: 2 detents	
er_mlk247mode_full automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to full automatic: 3 detents	
er_mlk247mode_semi-automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_mlk247reloadend.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_boltrelease.wav	last motion of a assault_rifle reload	
er_mlk247unload.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_mag_out.wav	feed device out of a assault_rifle	
er_mlk870mode_scattershot.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav|sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to scattershot: 2 detents	
er_mlk870mode_semi-automatic.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to semi-automatic: 1 detent	
er_mlk870reloadend.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_close_slide.wav	last motion of a shotgun reload	
er_mlk870unload.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_open_slide.wav	feed device out of a shotgun	
er_mlk_tech9mode_full automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to full automatic: 3 detents	
er_mlk_tech9mode_semi-automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_mlk_tech9reloadend.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_bolt_unlock.wav	last motion of a submachine_gun reload	
er_mlk_tech9unload.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_mag_out.wav	feed device out of a submachine_gun	
er_mpk20mode_burst.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to burst: 2 detents	
er_mpk20mode_full automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to full automatic: 3 detents	
er_mpk20mode_semi-automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_mpk20reloadend.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_bolt_unlock.wav	last motion of a submachine_gun reload	
er_mpk20unload.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_mag_out.wav	feed device out of a submachine_gun	
er_pump_shotgunmode_scattershot.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav|sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to scattershot: 2 detents	
er_pump_shotgunmode_semi-automatic.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to semi-automatic: 1 detent	
er_pump_shotgunreloadend.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_close_slide.wav	last motion of a shotgun reload	
er_pump_shotgununload.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_open_slide.wav	feed device out of a shotgun	
er_rocket_launcherhit1.ogg	copy	fortnite_weapons:modes/battle_royale/Explosive Weapons/Rocket Launcher/Rocket Launcher (v11.00 - Explosion - Close 02).ogg	round into a target	
er_rocket_launcherreloadend.ogg	copy	sandstorm:Weapon_M79/handling/m79_foley_breach_close.wav	last motion of a grenade_launcher reload	
er_rocket_launcherunload.ogg	copy	sandstorm:Weapon_M79/handling/m79_foley_shell_out.wav	feed device out of a grenade_launcher	
er_service_pistoldraw.ogg	copy	fortnite_weapons:modes/battle_royale/Pistols/Ranger Pistol/Ranger Pistol (Equip 01).ogg	sidearm brought up; it had a holster sound and no draw	
er_service_pistolreloadend.ogg	copy	sandstorm:Weapon_M1911/handling/m1911_foley_slide_release.wav	last motion of a pistol reload	
er_service_pistolunload.ogg	copy	sandstorm:Weapon_M1911/handling/m1911_foley_mag_out.wav	feed device out of a pistol	
er_sgx12mode_scattershot.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav|sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to scattershot: 2 detents	
er_sgx12mode_semi-automatic.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to semi-automatic: 1 detent	
er_sgx12reloadend.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_close_slide.wav	last motion of a shotgun reload	
er_sgx12unload.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_open_slide.wav	feed device out of a shotgun	
er_sgx13mode_burst.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav|sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to burst: 2 detents	
er_sgx13mode_scattershot.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav|sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to scattershot: 2 detents	
er_sgx13mode_semi-automatic.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to semi-automatic: 1 detent	
er_sgx13reloadend.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_close_slide.wav	last motion of a shotgun reload	
er_sgx13unload.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_open_slide.wav	feed device out of a shotgun	
er_tactical_sniperreloadend.ogg	copy	sandstorm:Weapon_M24/handling/m24_foley_bolt_forward_reload_end.wav	last motion of a sniper_rifle reload	
er_tactical_sniperunload.ogg	copy	sandstorm:Weapon_M24/handling/m24_foley_bolt_back.wav	feed device out of a sniper_rifle	
er_viper_uzimode_full automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to full automatic: 3 detents	
er_viper_uzimode_semi-automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_viper_uzireloadend.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_bolt_unlock.wav	last motion of a submachine_gun reload	
er_viper_uziunload.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_mag_out.wav	feed device out of a submachine_gun	
field_cannonreloadend.ogg	copy	sandstorm:Weapon_M79/handling/m79_foley_breach_close.wav	last motion of a explosive reload	
fn_fal_battle_riflehit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_01.ogg	round into a body	
gorgon_lmgreloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
grenade_launcherreloadend.ogg	copy	sandstorm:Weapon_M79/handling/m79_foley_breach_close.wav	last motion of a grenade_launcher reload	
handheld_cannonreloadend.ogg	copy	sandstorm:Weapon_M79/handling/m79_foley_breach_close.wav	last motion of a grenade_launcher reload	
laser_cannonhit1.ogg	copy	fortnite_weapons:modes/battle_royale/Submachine Guns/Kymera Ray Gun/Kymera Ray Gun (Impact 08).ogg	round into a target	
laser_pistolhit1.ogg	copy	fortnite_weapons:modes/battle_royale/Submachine Guns/Kymera Ray Gun/Kymera Ray Gun (Impact 02).ogg	round into a target	
laser_smghit1.ogg	copy	fortnite_weapons:modes/battle_royale/Submachine Guns/Kymera Ray Gun/Kymera Ray Gun (Impact 10).ogg	round into a target	
laser_sniperhit1.ogg	copy	fortnite_weapons:modes/battle_royale/Submachine Guns/Kymera Ray Gun/Kymera Ray Gun (Impact 04).ogg	round into a target	
m16a4reloadend.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_boltrelease.wav	last motion of a assault_rifle reload	
m1921a1_thompsonreloadend.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_bolt_unlock.wav	last motion of a submachine_gun reload	
m2_browningreloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
m8a7reloadend.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_boltrelease.wav	last motion of a assault_rifle reload	
mg4_lmgreloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
mk48_lmgreloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
mosin_1891reloadend.ogg	copy	sandstorm:Weapon_M24/handling/m24_foley_bolt_forward_reload_end.wav	last motion of a sniper_rifle reload	
mossberg_500reloadend.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_close_slide.wav	last motion of a shotgun reload	
mp7hit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_07.ogg	round into a body	
rpk_lmghit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_09.ogg	round into a body	
rpk_lmgmode_full automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to full automatic: 3 detents	
rpk_lmgmode_semi-automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to semi-automatic: 1 detent	
scar_h_battle_riflehit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_01.ogg	round into a body	
sks_carbinereloadend.ogg	copy	sandstorm:Weapon_FnFal/handling/fal_foley_charging_handle_release.wav	last motion of a battle_rifle reload	
spas_12_shotgunhit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_05.ogg	round into a body	
sword_throwerreloadend.ogg	copy	sandstorm:Weapon_M24/handling/m24_foley_bolt_latch.wav	last motion of a archery reload	
target_pistol_22reloadend.ogg	copy	sandstorm:Weapon_M1911/handling/m1911_foley_slide_release.wav	last motion of a pistol reload	
ui/activate.ogg	cue	game:menuenter.ogg	a button or link was pressed	length=0.2
ui/apply.ogg	cue	bf4ui:FrontEnd/Navigate_Apply_01_Wave 0 0 0.wav	settings saved or a change confirmed	length=0.6;fade=0.1
ui/check.ogg	cue	sandstorm_menu:ui_loadout_accessory_accept_01.ogg	a checkbox was ticked	length=0.35;fade=0.08
ui/close.ogg	cue	bf4ui:FrontEnd/UI_Battledash_Close_Wave 0 0 0.wav	a dialog was closed or cancelled	level=-22;length=0.5;fade=0.1
ui/edge.ogg	cue	game:menuedge.ogg	there is nothing further in that direction	level=-21;length=0.4
ui/error.ogg	cue	game:menufail.ogg	that did not work, or is not allowed	length=0.6;fade=0.1
ui/item.ogg	cue	sandstorm_menu:ui_navigate.ogg	focus moves to another item in a list, menu or tree	level=-23;length=0.18
ui/listen.ogg	cue	game:modeenter.ogg	voice control is listening for a command	length=0.5;fade=0.1
ui/listen_end.ogg	cue	game:modeleave.ogg	voice control stopped listening	length=0.5;fade=0.1
ui/move.ogg	cue	game:menumove.ogg	focus moves to another control on a form	length=0.15
ui/notify.ogg	cue	bf4ui:FrontEnd/UI_Battledash_Notification_Wave 0 0 0.wav	something happened that you should know about	length=0.9;fade=0.15
ui/open.ogg	cue	bf4ui:FrontEnd/UI_Battledash_Open_Wave 0 0 0.wav	a dialog or menu opened	level=-22;length=0.5;fade=0.1
ui/popup.ogg	cue	bf4ui:FrontEnd/Popup_Wave 0 0 0.wav	a message box needs an answer	length=0.7;fade=0.1
ui/slider.ogg	cue	bf4ui:FrontEnd/Navigate_Slider_Wave 0 0 0.wav	a slider or number moved by one step	level=-23;length=0.12
ui/switch.ogg	cue	sandstorm_menu:ui_hover.ogg	a switch moved to its next setting	length=0.25
ui/tab.ogg	cue	sandstorm_menu:ui_loadout_generic_select_01.ogg	a different tab or options section was selected	length=0.3;fade=0.06
ui/uncheck.ogg	cue	sandstorm_menu:ui_loadout_remove_item_01.ogg	a checkbox was cleared	length=0.35;fade=0.08
ui/wrap.ogg	cue	game:menuwrap.ogg	focus went past the last control and came back round to the first	length=0.4
uzihit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_05.ogg	round into a body	
weapon_safety.ogg	cue	sandstorm:Weapon_M9/handling/m9_foley_safety.wav	a pistol safety catch; it played a menu click	level=-20;length=0.4;fade=0.05
ui/type.ogg	cue	bf2042ui:Navigation/BF01_UI_Navigation_Highlight_Markers_01 0.wav	a character was typed into a text field	level=-26;length=0.1
ui/delete.ogg	cue	bf2042ui:Navigation/BF01_UI_Navigation_Highlight_Markers_03 2.wav	a character or word was deleted from a text field	level=-25;length=0.12
ui/cut.ogg	cue	halo5ui:Menus/H5_UI_Forge_Delete_Object.wav	selected text was cut to the clipboard	length=0.45;fade=0.1
ui/copy.ogg	cue	halo5ui:Menus/H5_UI_Forge_Duplicate_Object.wav	text was copied to the clipboard	length=0.45;fade=0.1
ui/paste.ogg	cue	bf2042ui:Collection/BF01_UI_Collection_Button-Equip_Markers_02 0.wav	text was pasted from the clipboard	length=0.4;fade=0.08
ui/select.ogg	cue	bf2042ui:Selection/BF01_UI_Selection_LightSelect_Markers_03 0.wav	everything in a field or list was selected	length=0.25;fade=0.05
ui/expand.ogg	cue	halo5ui:Menus/H5_UI_Select.wav	a tree branch opened	length=0.3;fade=0.08
ui/collapse.ogg	cue	halo5ui:Menus/H5_UI_Forge_De_Select.wav	a tree branch closed	length=0.3;fade=0.08
